"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize","thrpt",10,10,389.744608,5.250421,"ops/ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.alloc.rate","thrpt",10,10,2373.424868,32.013474,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.alloc.rate.norm","thrpt",10,10,6552.000655,0.000031,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.churn.G1_Eden_Space","thrpt",10,10,2382.820049,60.780580,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.churn.G1_Eden_Space.norm","thrpt",10,10,6577.701854,111.214934,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.churn.G1_Old_Gen","thrpt",10,10,0.012585,0.003797,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.churn.G1_Old_Gen.norm","thrpt",10,10,0.034746,0.010494,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.count","thrpt",10,10,400.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.AvroDeserialize:·gc.time","thrpt",10,10,623.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.FastjsonDeerialize","thrpt",10,10,1103.776853,173.976985,"ops/ms",18,821223455207111,桂花srt-123,14232.4304,true
