"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize","thrpt",10,10,868.322399,35.476092,"ops/ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.alloc.rate","thrpt",10,10,3711.717063,151.491480,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.alloc.rate.norm","thrpt",10,10,4599.457880,0.045511,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.churn.G1_Eden_Space","thrpt",10,10,3735.792464,154.448503,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.churn.G1_Eden_Space.norm","thrpt",10,10,4629.340046,47.402699,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.churn.G1_Old_Gen","thrpt",10,10,0.006773,0.002075,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.churn.G1_Old_Gen.norm","thrpt",10,10,0.008383,0.002472,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.count","thrpt",10,10,627.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.time","thrpt",10,10,965.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize","thrpt",10,10,1085.218757,43.138055,"ops/ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.alloc.rate","thrpt",10,10,1599.149710,53.540468,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.alloc.rate.norm","thrpt",10,10,1585.479479,12.747856,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.churn.G1_Eden_Space","thrpt",10,10,1609.269408,60.132659,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.churn.G1_Eden_Space.norm","thrpt",10,10,1595.644143,43.280421,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.churn.G1_Old_Gen","thrpt",10,10,0.001951,0.001096,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.churn.G1_Old_Gen.norm","thrpt",10,10,0.001929,0.001060,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.count","thrpt",10,10,270.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.time","thrpt",10,10,407.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.GsonSerialize","thrpt",10,10,676.159862,12.370313,"ops/ms",18,821223455207111,桂花srt-123,14232.4304,true
